년,월,차종별계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
2022,12,특수자동차,10830,11991,4695,8869,3683,3540,3482,811,28030,4771,5819,7158,5379,8766,10009,10232,1976,130041
2023,1,승용차,2765782,1264858,1042719,1446230,599671,600433,500243,172426,5324836,657068,721373,938153,751926,939321,1147025,1543446,583870,20999380
2023,1,승합차,95828,38186,27716,41968,17995,18119,13430,4229,190419,26601,27941,39037,30567,37905,45306,49409,17738,722394
2023,1,화물자동차,321896,186659,156843,199059,93940,87332,72607,17062,850112,165424,164487,231402,192408,252668,325946,297725,88031,3703601
2023,1,특수자동차,10845,12027,4714,8914,3693,3564,3492,817,28232,4807,5849,7162,5414,8817,10054,10291,1999,130691
2023,2,승용차,2764741,1267513,1043424,1447984,600243,601269,501415,173138,5332573,658558,723579,941628,753260,940458,1150049,1546811,585326,21031969
2023,2,승합차,95410,38075,27653,41845,17957,18097,13407,4198,190021,26591,27911,38994,30550,37819,45277,49404,17712,720921
2023,2,화물자동차,320619,186919,157242,199372,94177,87449,73072,17099,851836,166009,165129,232172,193115,253717,327115,298669,88671,3712382
2023,2,특수자동차,10911,12024,4734,8967,3731,3588,3501,819,28326,4848,5887,7180,5453,8843,10106,10339,2007,131264
2023,3,승용차,2768314,1270131,1043882,1449598,601941,601953,502620,173749,5347568,660675,725806,945224,755238,941441,1152963,1549139,586382,21076624
2023,3,승합차,94927,37877,27587,41542,17910,17948,13327,4220,188821,26511,27844,38883,30454,37842,45167,49145,17670,717675
2023,3,화물자동차,317293,187318,157414,199781,94400,87431,73118,17176,854665,166371,165893,233526,194280,254725,328251,299517,89178,3720337
2023,3,특수자동차,11004,12037,4738,9000,3756,3590,3513,824,28530,4899,5938,7193,5482,8882,10173,10391,2028,131978
2023,4,승용차,2769310,1273106,1044880,1453509,602459,602850,503807,174140,5362466,661522,727118,947763,756357,941444,1155158,1551427,587635,21114951
2023,4,승합차,94420,37724,27444,41237,17772,17845,13277,4189,187993,26295,27758,38684,30254,37651,44971,48810,17732,714056
2023,4,화물자동차,316737,186996,157246,199838,94018,87375,73073,17169,855066,166148,166095,233415,194314,254404,327889,299126,89174,3718083
2023,4,특수자동차,11049,12042,4745,9026,3776,3623,3538,818,28709,4940,5983,7238,5511,8925,10208,10395,2066,132592
2023,5,승용차,2769040,1275043,1045236,1454603,602599,603745,504588,174326,5373068,662707,728928,949679,756714,944809,1156547,1557120,588605,21147357
2023,5,승합차,93979,37644,27356,40914,17682,17788,13248,4180,187201,26167,27570,38410,29998,37611,44772,48674,17680,710874
2023,5,화물자동차,316139,187019,157272,199964,93755,87363,73127,17187,855719,166026,166006,233470,193734,254451,327732,298890,89335,3717189
2023,5,특수자동차,11130,12054,4779,9042,3793,3646,3552,816,28891,4996,6018,7285,5532,8972,10235,10433,2068,133242
2023,6,승용차,2771665,1277760,1047353,1463002,603459,605982,505669,174739,5389325,664051,730089,952292,757821,942572,1158091,1564107,588554,21196531
2023,6,승합차,93648,37517,27288,40747,17589,17707,13206,4173,186632,26108,27516,38239,29871,37410,44656,48543,17634,708484
2023,6,화물자동차,315903,186925,157271,199842,93743,87468,73365,17221,856359,166168,165960,233531,193780,254651,328026,299304,88612,3718129
2023,6,특수자동차,11218,12090,4819,9075,3815,3675,3562,827,29106,5034,6057,7340,5552,9006,10308,10500,2073,134057
2023,7,승용차,2772712,1280006,1057760,1472581,604213,607867,506120,174932,5398987,665124,731155,954353,759011,937466,1149987,1568975,590074,21231323
2023,7,승합차,93297,37402,27665,40604,17541,17722,13168,4178,185912,26047,27470,38083,29797,37380,44109,48399,17573,706347
2023,7,화물자동차,315158,186919,162497,200183,93652,87581,73537,17285,858555,166278,166185,233986,194079,255128,323516,299635,88706,3722880
2023,7,특수자동차,11247,12116,4917,9135,3845,3688,3578,824,29303,5075,6070,7398,5557,9044,10320,10560,2109,134786
2023,8,승용차,2772092,1281711,1058309,1473428,604617,608280,506537,174919,5404539,665762,732182,955997,759231,937865,1150880,1570930,590405,21247684
2023,8,승합차,92720,37237,27608,40486,17462,17547,13151,4159,185145,25900,27425,37986,29690,37223,43990,48214,17524,703467
2023,8,화물자동차,314382,186892,162259,200382,93537,87207,73484,17257,857903,166281,166553,234103,194153,255200,323570,299376,88692,3721231
2023,8,특수자동차,11252,12148,4951,9150,3879,3689,3591,830,29552,5113,6107,7445,5586,9056,10364,10616,2160,135489
2023,9,승용차,2774685,1284691,1060061,1476109,605865,609800,507123,175185,5416448,666953,733826,958308,760328,940047,1152298,1573335,592273,21287335
2023,9,승합차,92264,37105,27523,40186,17395,17466,13104,4162,184632,25785,27331,37900,29644,37121,43840,48016,17483,700957
2023,9,화물자동차,314131,186777,162196,200435,93488,87033,73410,17244,857560,166356,166595,234261,194324,255438,323773,299338,88895,3721254
2023,9,특수자동차,11279,12190,4987,9168,3894,3694,3606,834,29702,5151,6142,7496,5614,9071,10409,10686,2179,136102
2023,10,승용차,2775115,1287133,1060353,1476304,606494,610932,507688,175406,5425805,667494,734063,960225,760818,941672,1152813,1577326,593153,21312794
2023,10,승합차,91742,37019,27434,39961,17312,17388,13081,4131,183847,25700,27260,37786,29591,37074,43724,47906,17372,698328
2023,10,화물자동차,313655,186640,162043,201250,93474,86939,73505,17262,857172,166495,166385,234809,194295,255898,323892,299506,89132,3722352
2023,10,특수자동차,11320,12226,5036,9218,3935,3725,3604,840,29822,5175,6170,7530,5632,9087,10433,10743,2182,136678
2023,11,승용차,2775702,1290007,1062338,1475439,607852,613525,508703,175616,5444186,668521,735629,962926,762418,944627,1154629,1583083,593670,21358871
2023,11,승합차,91274,36832,27335,39857,17286,17337,13005,4128,183301,25566,27150,37711,29427,36951,43676,47769,17293,695898
2023,11,화물자동차,313246,186594,162022,202094,93572,86950,73606,17283,858123,166695,166428,235212,194217,256419,324216,299779,89460,3725916
2023,11,특수자동차,11326,12248,5045,9241,3966,3759,3619,843,29985,5201,6195,7577,5691,9126,10482,10796,2191,137291
2023,12,승용차,2776116,1292329,1063558,1479450,608506,615253,509101,175842,5453454,669232,736525,964793,763156,947466,1155680,1585602,594139,21390202
2023,12,승합차,91067,36727,27334,39839,17261,17304,12957,4115,183055,25477,27081,37621,29395,36861,43557,47684,17239,694574
2023,12,화물자동차,312590,186422,162057,202295,93516,87027,73579,17316,858364,166635,166422,235441,194252,256877,324156,299730,89721,3726400
2023,12,특수자동차,11389,12270,5071,9255,3973,3790,3629,837,30225,5296,6241,7591,5713,9182,10538,10833,2192,138025
2024,1,승용차,2776742,1294599,1064655,1481533,609723,617649,510320,176339,5465870,670486,738233,968245,764786,949208,1158178,1588786,594189,21429541
2024,1,승합차,90744,36638,27277,39817,17226,17276,12939,4096,182565,25410,26988,37628,29357,36648,43458,47646,17200,692913
2024,1,화물자동차,312209,186283,162127,202941,93545,87102,73682,17310,859821,166884,166718,235903,194648,257528,324774,300210,89889,3731574
2024,1,특수자동차,11409,12310,5118,9295,4014,3774,3649,839,30334,5354,6324,7641,5758,9216,10589,10880,2208,138712
2024,2,승용차,2776324,1295980,1064873,1483191,610325,618553,511024,176807,5472699,671513,739158,970793,765931,950705,1160195,1592327,593940,21454338
2024,2,승합차,90529,36552,27215,39771,17170,17280,12921,4106,181920,25375,26927,37612,29339,36528,43460,47562,17164,691431
2024,2,화물자동차,312105,186129,162143,203082,93592,87096,73796,17316,860346,166988,166853,236358,194838,257943,325187,300777,89977,3734526
2024,2,특수자동차,11400,12345,5141,9306,4026,3798,3661,845,30476,5390,6331,7679,5797,9253,10662,10932,2210,139252
2024,3,승용차,2775386,1298840,1065032,1485670,611561,619871,511591,177344,5485156,672367,740934,974158,767179,952599,1162892,1596663,595144,21492387
2024,3,승합차,89887,36365,27128,39367,17147,17093,12888,4106,180796,25271,26864,37542,29247,36396,43355,47348,17130,687930
2024,3,화물자동차,311049,185855,162241,202412,93778,86793,73790,17339,860335,166947,167033,236845,194944,258285,325667,301035,89944,3734292
2024,3,특수자동차,11454,12310,5162,9335,4028,3818,3673,845,30653,5393,6373,7706,5818,9283,10687,10983,2236,139757
2024,4,승용차,2775054,1301848,1064335,1487498,611625,620894,512277,177431,5493588,673050,742121,976741,767456,955259,1164267,1598495,597153,21519092
2024,4,승합차,89501,36193,26916,39101,17026,16949,12832,4100,179394,25147,26751,37307,29010,36351,43123,47101,17093,683895
2024,4,화물자동차,310476,185521,161709,202171,93466,86475,73710,17344,859224,166679,166860,236461,194470,257838,324713,300153,89927,3727197
2024,4,특수자동차,11439,12309,5202,9355,4023,3832,3695,854,30792,5445,6399,7749,5848,9269,10696,11029,2238,140174
2024,5,승용차,2775671,1305252,1064456,1491331,612397,622293,512957,177706,5503637,673914,742867,978999,768150,957483,1165673,1600724,597153,21550663
2024,5,승합차,89070,36057,26761,38988,16900,16868,12811,4085,178423,25034,26554,37115,28832,36280,42922,46938,17056,680694
2024,5,화물자동차,309999,185235,161525,202364,93171,86400,73694,17302,858646,166467,166416,236444,194479,257740,324461,299980,90084,3724407
2024,5,특수자동차,11479,12317,5203,9395,4047,3870,3699,866,30934,5465,6415,7774,5877,9283,10733,11047,2242,140646
2024,6,승용차,2777421,1308822,1066135,1492940,613422,624382,513646,178060,5515985,674957,744109,980919,769138,959029,1167496,1604523,598788,21589772
2024,6,승합차,88620,35937,26703,38913,16867,16848,12765,4084,177858,24978,26484,37096,28749,36193,42862,46793,17024,678774
2024,6,화물자동차,309486,185093,161654,202550,93191,86246,73747,17326,858900,166495,166472,236557,194603,257765,324557,299914,90232,3724788
2024,6,특수자동차,11528,12346,5233,9418,4069,3871,3713,872,31034,5474,6424,7841,5898,9321,10748,11080,2271,141141
2024,7,승용차,2776926,1311529,1066238,1494571,614001,625111,514411,178383,5526414,675855,745194,982784,770032,961328,1169207,1608346,600089,21620419
2024,7,승합차,87858,35875,26646,38795,16823,16784,12719,4080,177291,24880,26475,36954,28695,36067,42816,46613,16977,676348
2024,7,화물자동차,308398,185047,161552,202470,93262,86085,73685,17344,859268,166332,166612,236538,194876,257782,324746,300104,90527,3724628
2024,7,특수자동차,11561,12371,5227,9462,4078,3883,3726,871,31206,5495,6462,7896,5919,9357,10820,11109,2324,141767
2024,8,승용차,2775503,1313934,1065883,1493827,614050,625677,514837,178662,5531139,676179,745654,984105,770440,962807,1169952,1610758,599924,21633331
2024,8,승합차,87386,35786,26586,38557,16771,16712,12719,4125,176749,24802,26434,36805,28601,35835,42752,46443,16944,674007
2024,8,화물자동차,307788,184789,161341,201648,93190,86044,73617,17387,859132,166315,166670,236571,194941,257786,324672,299885,90749,3722525
2024,8,특수자동차,11588,12401,5234,9484,4077,3895,3726,872,31285,5504,6478,7932,5958,9377,10866,11146,2378,142201
2024,9,승용차,2776237,1318022,1066352,1495534,614753,626617,515536,178934,5540242,677038,746524,986343,771256,966707,1171395,1614478,600874,21666842
2024,9,승합차,86874,35716,26506,38499,16749,16689,12703,4123,176243,24726,26337,36745,28484,35747,42635,46311,16887,671974
2024,9,화물자동차,307198,184632,161236,201497,93159,85956,73587,17386,859133,166200,166694,236688,194763,257821,324493,299814,90846,3721103
2024,9,특수자동차,11618,12422,5284,9469,4084,3910,3740,896,31394,5516,6509,7932,5989,9385,10891,11176,2407,142622
2024,10,승용차,2773641,1320722,1067047,1498956,615299,627964,516238,179317,5551623,677797,747771,988205,772157,970165,1172566,1618659,602006,21700133
2024,10,승합차,86305,35652,26468,38617,16659,16653,12658,4125,175498,24649,26254,36657,28437,35551,42513,46189,16827,669712
