id,year,month,region,age_group,gender,registration_count
144,2022,1,서울,90대이상,남성,3953
145,2022,1,서울,전체,법인및사업자,469797
146,2022,1,서울,20대,여성,15741
147,2022,1,서울,30대,여성,110277
148,2022,1,서울,40대,여성,184029
149,2022,1,서울,50대,여성,200110
150,2022,1,서울,60대,여성,141734
151,2022,1,서울,70대,여성,40862
152,2022,1,서울,80대,여성,8601
153,2022,1,서울,90대이상,여성,2209
154,2022,1,세종,20대,남성,1917
155,2022,1,세종,30대,남성,20942
156,2022,1,세종,40대,남성,43289
157,2022,1,세종,50대,남성,34357
158,2022,1,세종,60대,남성,21373
159,2022,1,세종,70대,남성,5739
160,2022,1,세종,80대,남성,916
161,2022,1,세종,90대이상,남성,64
162,2022,1,세종,전체,법인및사업자,8984
163,2022,1,세종,20대,여성,1339
164,2022,1,세종,30대,여성,10400
165,2022,1,세종,40대,여성,16519
166,2022,1,세종,50대,여성,12223
167,2022,1,세종,60대,여성,6866
168,2022,1,세종,70대,여성,1286
169,2022,1,세종,80대,여성,245
170,2022,1,세종,90대이상,여성,58
171,2022,1,울산,20대,남성,7782
172,2022,1,울산,30대,남성,49759
173,2022,1,울산,40대,남성,98476
174,2022,1,울산,50대,남성,125051
175,2022,1,울산,60대,남성,103002
176,2022,1,울산,70대,남성,26631
177,2022,1,울산,80대,남성,3357
178,2022,1,울산,90대이상,남성,235
179,2022,1,울산,전체,법인및사업자,47636
180,2022,1,울산,20대,여성,3675
181,2022,1,울산,30대,여성,18128
182,2022,1,울산,40대,여성,31773
183,2022,1,울산,50대,여성,37705
184,2022,1,울산,60대,여성,23560
185,2022,1,울산,70대,여성,4466
186,2022,1,울산,80대,여성,759
187,2022,1,울산,90대이상,여성,208
188,2022,1,인천,20대,남성,18950
189,2022,1,인천,30대,남성,122570
190,2022,1,인천,40대,남성,215098
191,2022,1,인천,50대,남성,233718
192,2022,1,인천,60대,남성,185721
193,2022,1,인천,70대,남성,49632
194,2022,1,인천,80대,남성,7688
195,2022,1,인천,90대이상,남성,685
196,2022,1,인천,전체,법인및사업자,539786
197,2022,1,인천,20대,여성,9575
198,2022,1,인천,30대,여성,49597
199,2022,1,인천,40대,여성,80485
200,2022,1,인천,50대,여성,93050
201,2022,1,인천,60대,여성,59213
202,2022,1,인천,70대,여성,11014
203,2022,1,인천,80대,여성,2155
204,2022,1,인천,90대이상,여성,482
205,2022,1,전남,20대,남성,13815
206,2022,1,전남,30대,남성,66288
207,2022,1,전남,40대,남성,140779
208,2022,1,전남,50대,남성,202998
209,2022,1,전남,60대,남성,178115
210,2022,1,전남,70대,남성,66887
211,2022,1,전남,80대,남성,11772
212,2022,1,전남,90대이상,남성,1056
213,2022,1,전남,전체,법인및사업자,269056
214,2022,1,전남,20대,여성,7208
215,2022,1,전남,30대,여성,30140
